long,lat,order,hole,piece,group,id
-117.239608188051,32.6941853443593,1,FALSE,1,0.1,0
-117.239604939082,32.6942169234749,2,FALSE,1,0.1,0
-117.239590729827,32.6942643098142,3,FALSE,1,0.1,0
-117.239569865661,32.6943162195228,4,FALSE,1,0.1,0
-117.239542322091,32.6943636308116,5,FALSE,1,0.1,0
-117.239531701681,32.6943816923757,6,FALSE,1,0.1,0
-117.239531555381,32.694451604215,7,FALSE,1,0.1,0
-117.239530645771,32.6944854333511,8,FALSE,1,0.1,0
-117.239530729275,32.6945170064615,9,FALSE,1,0.1,0
-117.239522951158,32.6946004633753,10,FALSE,1,0.1,0
-117.239524399304,32.6946433090983,11,FALSE,1,0.1,0
-117.239520222331,32.6947019525875,12,FALSE,1,0.1,0
-117.239519390097,32.6947650996134,13,FALSE,1,0.1,0
-117.239520183979,32.6948124575203,14,FALSE,1,0.1,0
-117.239525322901,32.6948643172487,15,FALSE,1,0.1,0
-117.239528194738,32.6949409878118,16,FALSE,1,0.1,0
-117.239526357174,32.6950018822256,17,FALSE,1,0.1,0
-117.239524185814,32.6950627766129,18,FALSE,1,0.1,0
-117.239523711831,32.6951349436484,19,FALSE,1,0.1,0
-117.239517570943,32.6952071218947,20,FALSE,1,0.1,0
-117.23950842304,32.6952770500654,21,FALSE,1,0.1,0
-117.239497565519,32.6953311960468,22,FALSE,1,0.1,0
-117.239489696626,32.6953808246373,23,FALSE,1,0.1,0
-117.239485531828,32.6954439785687,24,FALSE,1,0.1,0
-117.239481347599,32.6955003659439,25,FALSE,1,0.1,0
-117.239474557417,32.6955793107006,26,FALSE,1,0.1,0
-117.239474369328,32.695633435987,27,FALSE,1,0.1,0
-117.239477228924,32.6957055970126,28,FALSE,1,0.1,0
-117.239475839148,32.6958093388674,29,FALSE,1,0.1,0
-117.239479644013,32.6958612011893,30,FALSE,1,0.1,0
-117.23948478404,32.6959130609126,31,FALSE,1,0.1,0
-117.239478332665,32.6959942600251,32,FALSE,1,0.1,0
-117.239480042287,32.696010043116,33,FALSE,1,0.1,0
-117.239477138157,32.696046131806,34,FALSE,1,0.1,0
-117.239470263389,32.6960935043621,35,FALSE,1,0.1,0
